Computer,source,EventID,UtcTime,DestinationIp,Protocol,DestinationPort,Image,CommandLine,ParentCommandLine
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",1,"2021-11-21 12:57:32.228",,,,"C:\Windows\System32\wbem\unsecapp.exe","C:\Windows\system32\wbem\unsecapp.exe -Embedding","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",5,"2021-11-21 12:57:33.059",,,,"C:\Users\pc01-user\Downloads\Sysmon64.exe",,
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",1,"2021-11-21 12:57:40.486",,,,"C:\Windows\System32\consent.exe","consent.exe 484 422 00000190401A2040","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",13,"2021-11-21 12:58:14.925",,,,"C:\Windows\system32\compattelrunner.exe",,
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",13,"2021-11-21 12:58:14.987",,,,"C:\Windows\system32\compattelrunner.exe",,
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",13,"2021-11-21 12:58:14.987",,,,"C:\Windows\system32\compattelrunner.exe",,
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",13,"2021-11-21 12:58:14.987",,,,"C:\Windows\system32\compattelrunner.exe",,
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",13,"2021-11-21 12:58:14.987",,,,"C:\Windows\system32\compattelrunner.exe",,
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",1,"2021-11-21 12:57:40.889",,,,"C:\Windows\System32\mmc.exe","""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\services.msc"" ","C:\Windows\Explorer.EXE"
"DESKTOP-PC01","sysmon_events.json
XmlWinEventLog:Microsoft-Windows-Sysmon/Operational",22,"2021-11-21 12:57:44.978",,,,"C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe",,
